M0,M1,M2,M3,M4,STD,M3_pre_COVID,STD_pre_COVID
2896.6691,2412.7589,2755.8075,2231.6468,2545.6869,4510.967135,449.1529,786.9319566260967
3976.9677,3420.1117,3793.1875,3085.3802,3593.7353,4517.809024,712.0517,811.4354600686246
4401.9405,3940.3968,4203.0501,3657.6736,4050.3836,4524.135742,983.7379,923.4687106807288
4558.0772,4180.7435,4362.8619,4008.1091,4238.8411,4523.925106,1343.4939,1151.4953932270478
5150.9887,4843.9994,4947.2185,4732.0094,4840.4626,4998.115613,2011.3516,1785.1997843422732
7244.2653,6979.8861,7023.3403,6886.303,6923.8753,6980.241906,3380.1066,3207.087954881213
7404.75,7134.0602,7182.3562,7027.9405,7086.1275,7078.082816,4565.0556,4524.082486872405
7372.0975,7132.6152,7164.2731,7028.8723,7064.1121,7073.581691,5771.1703,5754.9907014412
7313.1472,7099.7309,7103.836,7006.0744,7006.6195,7081.006268,5915.2386,5860.579786145652
7274.6642,7037.2127,7026.4553,6964.0255,6935.252,7093.715743,5916.7243,5867.967707153525
7279.4099,7025.3119,7023.9397,6956.8939,6924.794,7102.235933,5898.15,5877.269560355927
7304.2583,7054.4825,7084.2509,6997.4783,6992.7499,7105.642579,5882.7134,5889.181665666366
