M0,M1,M2,M3,M4,STD,M3_season
2952.3852,2402.3144,2822.1044,2243.8588,2635.6019,4510.967135160481,4279.0617
4034.2134,3396.0873,3817.7619,3141.3821,3651.2548,4517.809024065375,4326.2014
4442.8077,3913.3764,4220.6081,3669.0895,4103.0561,4524.13574160382,4334.8349
4593.5254,4180.1739,4387.5601,4040.2393,4298.0582,4523.925106314522,4359.6962
5184.4834,4879.98,4981.1336,4788.0653,4917.4978,4998.11561339851,4935.4898
7269.9187,7015.312,7032.1386,6952.2923,6959.6824,6980.241905521028,6842.8032
7428.7279,7172.8779,7190.2192,7091.8783,7119.6078,7078.0828161765,6865.8999
7405.6327,7189.9191,7188.9253,7126.9304,7122.0723,7073.581690830253,7263.9908
7366.0162,7182.9708,7163.7478,7126.8812,7102.828,7081.006268248279,7284.908
7348.0669,7177.1671,7153.3364,7129.5333,7098.5879,7093.715743363333,7188.702
7366.5782,7194.0202,7181.9735,7153.345,7126.647,7102.2359326692285,7212.752
7397.6551,7223.2004,7235.4271,7184.2339,7179.0203,7105.642579398087,7047.573
